epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
1,34,1.333976e-01,7.152650e-03,1.405503e-01,8.486626e-01,2.356009e-06
1,34,1.333976e-01,7.152650e-03,1.405503e-01,8.486626e-01,2.356009e-06
1,35,1.244063e-01,9.074170e-03,1.334805e-01,1.031823e+00,2.813408e-06
1,35,1.244063e-01,9.074170e-03,1.334805e-01,1.031823e+00,2.813408e-06
1,36,1.273123e-01,7.959875e-03,1.352722e-01,9.232998e-01,2.896850e-06
1,36,1.273123e-01,7.959875e-03,1.352722e-01,9.232998e-01,2.896850e-06
1,37,1.373018e-01,6.882438e-03,1.441842e-01,8.255455e-01,2.431427e-06
1,37,1.373018e-01,6.882438e-03,1.441842e-01,8.255455e-01,2.431427e-06
1,38,1.400515e-01,1.047739e-02,1.505289e-01,1.187790e+00,3.363319e-06
1,38,1.400515e-01,1.047739e-02,1.505289e-01,1.187790e+00,3.363319e-06
1,39,1.256877e-01,1.083224e-02,1.365199e-01,1.208912e+00,3.741845e-06
1,39,1.256877e-01,1.083224e-02,1.365199e-01,1.208912e+00,3.741845e-06
1,40,1.287353e-01,8.873163e-03,1.376085e-01,1.016052e+00,3.388912e-06
1,40,1.287353e-01,8.873163e-03,1.376085e-01,1.016052e+00,3.388912e-06
1,41,1.221920e-01,1.217950e-02,1.343715e-01,1.340142e+00,3.759678e-06
1,41,1.221920e-01,1.217950e-02,1.343715e-01,1.340142e+00,3.759678e-06
1,42,1.218239e-01,9.876780e-03,1.317007e-01,1.109502e+00,3.116926e-06
1,42,1.218239e-01,9.876780e-03,1.317007e-01,1.109502e+00,3.116926e-06
1,43,1.288857e-01,1.210609e-02,1.409917e-01,1.339494e+00,3.772803e-06
1,43,1.288857e-01,1.210609e-02,1.409917e-01,1.339494e+00,3.772803e-06
1,44,1.356801e-01,1.247277e-02,1.481529e-01,1.382957e+00,4.398682e-06
1,44,1.356801e-01,1.247277e-02,1.481529e-01,1.382957e+00,4.398682e-06
1,45,1.249446e-01,1.205774e-02,1.370024e-01,1.330718e+00,4.571039e-06
1,45,1.249446e-01,1.205774e-02,1.370024e-01,1.330718e+00,4.571039e-06
1,46,1.371056e-01,1.327965e-02,1.503853e-01,1.465071e+00,4.325234e-06
1,46,1.371056e-01,1.327965e-02,1.503853e-01,1.465071e+00,4.325234e-06
1,47,1.217773e-01,1.872309e-02,1.405004e-01,1.994087e+00,5.532277e-06
1,47,1.217773e-01,1.872309e-02,1.405004e-01,1.994087e+00,5.532277e-06
1,48,1.320251e-01,1.779355e-02,1.498186e-01,1.911380e+00,5.340115e-06
1,48,1.320251e-01,1.779355e-02,1.498186e-01,1.911380e+00,5.340115e-06
1,49,1.132603e-01,1.634277e-02,1.296031e-01,1.747538e+00,5.848393e-06
1,49,1.132603e-01,1.634277e-02,1.296031e-01,1.747538e+00,5.848393e-06
1,50,1.343869e-01,1.592299e-02,1.503099e-01,1.726686e+00,5.069036e-06
1,50,1.343869e-01,1.592299e-02,1.503099e-01,1.726686e+00,5.069036e-06
1,51,1.391648e-01,1.798151e-02,1.571463e-01,1.937316e+00,5.901792e-06
1,51,1.391648e-01,1.798151e-02,1.571463e-01,1.937316e+00,5.901792e-06
1,52,1.545264e-01,1.673393e-02,1.712603e-01,1.827920e+00,7.071715e-06
1,52,1.545264e-01,1.673393e-02,1.712603e-01,1.827920e+00,7.071715e-06
1,53,1.155045e-01,1.166127e-02,1.271657e-01,1.281631e+00,4.344652e-06
1,53,1.155045e-01,1.166127e-02,1.271657e-01,1.281631e+00,4.344652e-06
1,54,1.565953e-01,2.123704e-02,1.778324e-01,2.280300e+00,7.521363e-06
1,54,1.565953e-01,2.123704e-02,1.778324e-01,2.280300e+00,7.521363e-06
1,55,1.616997e-01,2.036992e-02,1.820696e-01,2.198692e+00,7.006569e-06
1,55,1.616997e-01,2.036992e-02,1.820696e-01,2.198692e+00,7.006569e-06
1,56,1.391871e-01,1.796172e-02,1.571488e-01,1.935359e+00,6.284942e-06
1,56,1.391871e-01,1.796172e-02,1.571488e-01,1.935359e+00,6.284942e-06
1,57,1.364220e-01,2.292224e-02,1.593442e-01,2.428646e+00,7.977562e-06
1,57,1.364220e-01,2.292224e-02,1.593442e-01,2.428646e+00,7.977562e-06
1,58,1.363719e-01,2.385293e-02,1.602248e-01,2.521665e+00,8.040374e-06
1,58,1.363719e-01,2.385293e-02,1.602248e-01,2.521665e+00,8.040374e-06
1,59,1.447646e-01,3.121714e-02,1.759817e-01,3.266479e+00,1.143870e-05
1,59,1.447646e-01,3.121714e-02,1.759817e-01,3.266479e+00,1.143870e-05
1,60,1.221189e-01,2.669751e-02,1.488164e-01,2.791870e+00,1.029121e-05
1,60,1.221189e-01,2.669751e-02,1.488164e-01,2.791870e+00,1.029121e-05
1,61,1.144699e-01,2.267623e-02,1.371461e-01,2.382093e+00,8.133028e-06
1,61,1.144699e-01,2.267623e-02,1.371461e-01,2.382093e+00,8.133028e-06
1,62,1.502187e-01,1.933057e-02,1.695493e-01,2.083276e+00,6.936714e-06
1,62,1.502187e-01,1.933057e-02,1.695493e-01,2.083276e+00,6.936714e-06
1,63,1.445405e-01,2.070006e-02,1.652406e-01,2.214547e+00,7.595235e-06
1,63,1.445405e-01,2.070006e-02,1.652406e-01,2.214547e+00,7.595235e-06
1,64,1.512634e-01,3.552281e-02,1.867862e-01,3.703544e+00,1.291631e-05
1,64,1.512634e-01,3.552281e-02,1.867862e-01,3.703544e+00,1.291631e-05
1,65,1.705329e-01,2.381000e-02,1.943429e-01,2.551533e+00,9.421206e-06
1,65,1.705329e-01,2.381000e-02,1.943429e-01,2.551533e+00,9.421206e-06
1,66,1.402045e-01,3.026063e-02,1.704651e-01,3.166267e+00,1.154648e-05
1,66,1.402045e-01,3.026063e-02,1.704651e-01,3.166267e+00,1.154648e-05
1,67,1.513971e-01,2.929425e-02,1.806914e-01,3.080822e+00,9.587759e-06
1,67,1.513971e-01,2.929425e-02,1.806914e-01,3.080822e+00,9.587759e-06
1,68,1.314124e-01,2.965987e-02,1.610723e-01,3.097400e+00,1.063977e-05
1,68,1.314124e-01,2.965987e-02,1.610723e-01,3.097400e+00,1.063977e-05
1,69,1.661937e-01,2.823736e-02,1.944311e-01,2.989930e+00,1.025703e-05
1,69,1.661937e-01,2.823736e-02,1.944311e-01,2.989930e+00,1.025703e-05
1,70,1.481554e-01,3.382464e-02,1.819801e-01,3.530619e+00,1.172406e-05
1,70,1.481554e-01,3.382464e-02,1.819801e-01,3.530619e+00,1.172406e-05
1,71,1.406917e-01,3.537229e-02,1.760640e-01,3.677921e+00,1.115906e-05
1,71,1.406917e-01,3.537229e-02,1.760640e-01,3.677921e+00,1.115906e-05
1,72,1.707956e-01,4.108627e-02,2.118819e-01,4.279423e+00,1.585146e-05
1,72,1.707956e-01,4.108627e-02,2.118819e-01,4.279423e+00,1.585146e-05
1,73,1.505348e-01,4.350868e-02,1.940435e-01,4.501403e+00,1.505363e-05
1,73,1.505348e-01,4.350868e-02,1.940435e-01,4.501403e+00,1.505363e-05
1,74,1.672937e-01,3.384420e-02,2.011379e-01,3.551714e+00,1.153496e-05
1,74,1.672937e-01,3.384420e-02,2.011379e-01,3.551714e+00,1.153496e-05
1,75,1.727254e-01,3.121855e-02,2.039440e-01,3.294580e+00,1.283303e-05
1,75,1.727254e-01,3.121855e-02,2.039440e-01,3.294580e+00,1.283303e-05
1,76,1.698765e-01,3.549792e-02,2.053744e-01,3.719668e+00,1.345775e-05
1,76,1.698765e-01,3.549792e-02,2.053744e-01,3.719668e+00,1.345775e-05
1,77,1.569596e-01,4.313198e-02,2.000916e-01,4.470158e+00,1.688351e-05
1,77,1.569596e-01,4.313198e-02,2.000916e-01,4.470158e+00,1.688351e-05
1,78,1.616427e-01,3.872643e-02,2.003692e-01,4.034286e+00,1.538112e-05
1,78,1.616427e-01,3.872643e-02,2.003692e-01,4.034286e+00,1.538112e-05
1,79,1.478459e-01,4.293667e-02,1.907826e-01,4.441513e+00,1.561002e-05
