epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
500,28,6.650618e-02,5.457478e-03,7.196366e-02,6.122540e-01,1.749713e-06
500,28,6.650618e-02,5.457478e-03,7.196366e-02,6.122540e-01,1.749713e-06
500,29,7.313827e-02,6.500810e-03,7.963908e-02,7.232193e-01,2.024554e-06
500,29,7.313827e-02,6.500810e-03,7.963908e-02,7.232193e-01,2.024554e-06
500,30,8.014414e-02,6.023950e-03,8.616808e-02,6.825392e-01,1.959942e-06
500,30,8.014414e-02,6.023950e-03,8.616808e-02,6.825392e-01,1.959942e-06
500,31,7.114080e-02,6.566054e-03,7.770685e-02,7.277462e-01,2.180916e-06
500,31,7.114080e-02,6.566054e-03,7.770685e-02,7.277462e-01,2.180916e-06
500,32,8.632224e-02,6.872592e-03,9.319483e-02,7.735815e-01,2.222589e-06
500,32,8.632224e-02,6.872592e-03,9.319483e-02,7.735815e-01,2.222589e-06
500,33,7.062940e-02,6.167265e-03,7.679667e-02,6.873559e-01,1.808234e-06
500,33,7.062940e-02,6.167265e-03,7.679667e-02,6.873559e-01,1.808234e-06
500,34,5.813781e-02,6.846212e-03,6.498402e-02,7.427590e-01,1.989125e-06
500,34,5.813781e-02,6.846212e-03,6.498402e-02,7.427590e-01,1.989125e-06
500,35,7.545386e-02,7.736431e-03,8.319030e-02,8.490969e-01,2.425224e-06
500,35,7.545386e-02,7.736431e-03,8.319030e-02,8.490969e-01,2.425224e-06
500,36,7.343190e-02,7.481281e-03,8.091319e-02,8.215600e-01,2.467121e-06
500,36,7.343190e-02,7.481281e-03,8.091319e-02,8.215600e-01,2.467121e-06
500,37,6.998006e-02,6.155372e-03,7.613543e-02,6.855172e-01,1.979301e-06
500,37,6.998006e-02,6.155372e-03,7.613543e-02,6.855172e-01,1.979301e-06
500,38,7.029107e-02,6.541053e-03,7.683212e-02,7.243963e-01,1.905650e-06
500,38,7.029107e-02,6.541053e-03,7.683212e-02,7.243963e-01,1.905650e-06
500,39,7.187104e-02,6.107222e-03,7.797827e-02,6.825932e-01,1.890632e-06
500,39,7.187104e-02,6.107222e-03,7.797827e-02,6.825932e-01,1.890632e-06
500,40,6.989945e-02,6.206510e-03,7.610596e-02,6.905504e-01,1.895693e-06
500,40,6.989945e-02,6.206510e-03,7.610596e-02,6.905504e-01,1.895693e-06
500,41,7.768680e-02,6.624322e-03,8.431113e-02,7.401191e-01,1.996587e-06
500,41,7.768680e-02,6.624322e-03,8.431113e-02,7.401191e-01,1.996587e-06
500,42,7.222235e-02,6.545232e-03,7.876758e-02,7.267455e-01,1.936334e-06
500,42,7.222235e-02,6.545232e-03,7.876758e-02,7.267455e-01,1.936334e-06
